Latitude,Longitude,Common Name,FEATUREITEM_ID,City Feature,Address,Website,Location
47.580957,-122.288481,Mount Baker Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=419,"(47.580957, -122.288481)"
47.520135,-122.258376,Chinook Beach Park,,Parks,RAINIER AVE S / S ITHACA ST,http://www.seattle.gov/parks/park_detail.asp?ID=421,"(47.520135, -122.258376)"
47.5543,-122.252449,Seward Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=428,"(47.5543, -122.252449)"
47.542398,-122.260054,Martha Washington Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=432,"(47.542398, -122.260054)"
47.592681,-122.318451,Dr. Jose Rizal Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=433,"(47.592681, -122.318451)"
47.524193,-122.263223,Beer Sheva Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=440,"(47.524193, -122.263223)"
47.58671,-122.400127,Alki Beach Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=445,"(47.58671, -122.400127)"
47.580672,-122.376895,Belvedere Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=447,"(47.580672, -122.376895)"
47.584928,-122.378909,Duwamish Head Greenbelt,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=451,"(47.584928, -122.378909)"
47.588951,-122.378676,Seacrest Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=455,"(47.588951, -122.378676)"
47.52133,-122.388277,Kilbourne Park,,Parks,9131 CALIFORNIA AVE SW,http://www.seattle.gov/parks/park_detail.asp?ID=459,"(47.52133, -122.388277)"
47.558473,-122.356922,Puget Park,,Parks,4800 16TH AVE SW,http://www.seattle.gov/parks/park_detail.asp?ID=462,"(47.558473, -122.356922)"
47.539329,-122.348855,Riverview Playfield,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=463,"(47.539329, -122.348855)"
47.574375,-122.400425,Schmitz Preserve Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=465,"(47.574375, -122.400425)"
47.500389,-122.374332,Seola Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=466,"(47.500389, -122.374332)"
47.563166,-122.404005,Me-Kwa-Mooks Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=473,"(47.563166, -122.404005)"
47.655124,-122.283215,Belvoir Place,,Parks,3659  42ND AV NE,http://www.seattle.gov/parks/park_detail.asp?ID=475,"(47.655124, -122.283215)"
47.505679,-122.387822,Arroyos Natural Area,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=485,"(47.505679, -122.387822)"
